chain,token,recipient,amount,transactionHash,address
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,343,0x5a5d33464b58267d5bddb8145fc234480005293abc2669331a7155252b99210a,xxxx...
avax,0xc677c31AD31F73A5290f5ef067F8CEF8d301e45c,0x6E346B1277e545c5F4A9BB602A220B34581D068B,28,0x7c8b84af2264fd12645066f7017a6d64be12fede5da0ed55181d92dce7e38f2c,xxxx...
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,206,0xc381045a0d97b77048f0b51cf08a0b28297abb374fac6dcba45bef3600a4eb4f,xxxx...
avax,0x0773b81e0524447784CcE1F3808fed6AaA156eC8,0x6E346B1277e545c5F4A9BB602A220B34581D068B,284,0x026c986bda901c927f4b82ea08eaa82a76049ded5eefcdf8420ae622b21c6efc,xxxx...
